Entry,Name,Description,Object,Legend
hsa00970,Aminoacyl-tRNA biosynthesis,,C06113 (L-Aspartyl-tRNA(Asn)) C02992 (L-Threonyl-tRNA(Thr)) C02839 (L-Tyrosyl-tRNA(Tyr)) C00078 (L-T...,L-Aspartyl-tRNA(Asn) 6.1.1.5 AMINOACYL-tRNA BIOSYNTHESIS 6.1.1.22 6.1.1.21 6.1.1.20 6.1.1.19 6.1.1....
hsa00980,Metabolism of xenobiotics by cytochrome P450,,"C14039 (1,1-Dichloroethylene) C14876 (S-(2-Hydroxyethyl)-N-acetyl-L-cysteine) C14875 (S-(2-Hydroxyet...","1,1-Dichloro-ethylene CYP2E1 CYP2E1 CYP2E1 CYP2E1 CYP2E1 S-(2-Hydroxyethyl)-N-acetyl-L-cysteine S-(2..."
hsa00982,Drug metabolism - cytochrome P450,,"C16544 (alpha-Hydroxytamoxifen) D00343 (Ifosfamide (JAN/USP/INN)), C07047 (Ifosfamide) C16612 (Cital...",α-Hydroxytamoxifen Ifosfamide (prodrug) Citalopram-aldehyde 4-Ene-VPA 4-OH-VPA 5-OH-VPA Oxcarbazepin...
hsa00983,Drug metabolism - other enzymes,,"D00346 (Isoniazid (JP18/USP/INN)), C07054 (Isoniazid) C04646 (6-Thioinosine-5'-monophosphate) D01223...",Isoniazid 6-Thioinosine-5'-monophosphate Capecitabine Isonicotinic acid DRUG METABOLISM - OTHER ENZ...
hsa01040,Biosynthesis of unsaturated fatty acids,,"C16533 ((13Z,16Z)-Docosadienoic acid) C16645 ((13Z,16Z)-Docosadienoyl-CoA) C16645 ((13Z,16Z)-Docosad...","Docosadienoic acid Δ13,16 Δ13,16 3.1.2.- YciA TesB 3.1.2.- 3.1.2.- 3.1.2.- 3.1.2.- 3.1.2.- 3.1.2.- 3..."
hsa01100,Metabolic pathways,,C22651 (Dodecapentaenoyl-[acyl-carrier protein]) C09668 (Fumagillin) C22650 (Prefumagillin) C22666 (...,Monoterpenoid biosynthesis One carbon pool by folate Flavonoid biosynthesis Starch and sucrose metab...
hsa01200,Carbon metabolism,Carbon metabolism is the most basic aspect of life. This map presents an overall view of central car...,"C00085 (D-Fructose 6-phosphate), C05345 (beta-D-Fructose 6-phosphate) C01182 (D-Ribulose 1,5-bisphos...","HCO HCHO HCHO HCO HCO AcCoA CARBON METABOLISM Fructose-6P Ribulose-1,5P Glycerate-3P THF Glucose Gl..."
hsa01210,2-Oxocarboxylic acid metabolism,"2-Oxocarboxylic acids, also called 2-oxo acids and alpha-keto acids, are the most elementary set of ...",C17254 (8-Methylthiooctyl glucosinolate) C17232 (2-Oxo-10-methylthiodecanoic acid) C17252 (7-Methylt...,8-Methylthiooctyl glucosinolate 2-Oxo-10-methylthio-decanoic acid 7-Methylthioheptyl glucosinolate 2...
hsa01212,Fatty acid metabolism,,C00024 (Acetyl-CoA) C03939 (Acetyl-[acyl-carrier protein]) C05744 (Acetoacetyl-[acp]) C04618 ((3R)-3...,FATTY ACID METABOLISM Acetyl-CoA Acetyl-[acp] Malonyl-CoA Malonyl-[acp] Butanoyl-[acp] (AcACP) (Ma...
hsa01230,Biosynthesis of amino acids,"This map presents a modular architecture of the biosynthesis pathways of twenty amino acids, which m...","C04390 (N6-Acetyl-LL-2,6-diaminoheptanedioate) C04002 ((Z)-But-1-ene-1,2,4-tricarboxylate) C00118 (D...",BIOSYNTHESIS OF AMINO ACIDS Glyceraldehyde-3P Glycerone-P Glycerate-3P Phosphoenolpyruvate Pyruva...
hsa01232,Nucleotide metabolism,,C00130 (IMP) C00104 (IDP) C00081 (ITP) C00020 (AMP) C00008 (ADP) C00002 (ATP) C00294 (Inosine) C0021...,IMP IDP ITP AMP ADP ATP Inosine Adenosine Adenine Hypoxanthine Guanine GDP GMP Guanosine GTP Xanthin...
hsa01240,Biosynthesis of cofactors,,C00118 (D-Glyceraldehyde 3-phosphate) C00197 (3-Phospho-D-glycerate) C00074 (Phosphoenolpyruvate) C0...,BIOSYNTHESIS OF COFACTORS Glycer-aldehyde-3P Glycerate-3P Phosphoenol-pyruvate Pyruvate Fructose-6...
hsa01250,Biosynthesis of nucleotide sugars,,C04501 (N-Acetyl-alpha-D-glucosamine 1-phosphate) C01170 (UDP-N-acetyl-D-mannosamine) C06240 (UDP-N-...,BIOSYNTHESIS OF NUCLEOTIDE SUGARS GlcNAc-1P UDP-ManNAc UDP-ManNAcA UDP-L-6dTalNAc UDP-L-FucNAc UD...
hsa01521,EGFR tyrosine kinase inhibitor resistance,EGFR is a tyrosine kinase that participates in the regulation of cellular homeostasis. EGFR also ser...,"C00165 (Diacylglycerol) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) D07907 (Erlotinib (INN)) D...",Non-small cell lung cancer Her3 Her2 EGFR Pancreatic cancer mTOR signaling pathway GSK-3 eI...
hsa01522,Endocrine resistance,Endocrine therapy is a key treatment strategy to control or eradicate hormone-responsive breast canc...,"C00951 (Estradiol-17beta) C00951 (Estradiol-17beta) C00575 (3',5'-Cyclic AMP) C00951 (Estradiol-17be...",ENDOCRINE RESISTANCE GPR30 Src MMP HB-EGF EGFR HB-EGF CoA DNA DNA cAMP PKA Ras Raf MEK ERK1/2 GPR30...
hsa01523,Antifolate resistance,"Since the 1940s, antifolates have played a pivotal role in drug treatment of malignant, microbial, p...","D00142 (Methotrexate (JP18/USP/INN)), D05589 (Pralatrexate (JAN/USAN/INN)), D04766 (Lometrexol sodiu...",ANTIFOLATE RESISTANCE RFC ABCC1 ABCC2 ABCC3 ABCC4 ABCC5 GARTF Antifolate Methotrexate (MTX) Pemetre...
hsa01524,Platinum drug resistance,"Platinum-based drugs cisplatin, carboplatin and oxaliplatin are widely used in the therapy of solid ...",D00275 (Cisplatin (JP18/USP/INN)) D01790 (Oxaliplatin (JAN/USP/INN)) D01363 (Carboplatin (JP18/USP/I...,Mitochondrion p53 signaling pathway ATM p53 Bcl-2 CASP9 CASP3 Bad IAP/XIAP Apaf-1 CytC Bid CASP8 FAD...
hsa02010,ABC transporters,"The ATP-binding cassette (ABC) transporters form one of the largest known protein families, and are ...",C16421 (AI-2) C01684 (D-Rhamnose) C00095 (D-Fructose) C01487 (D-Allose) C00181 (D-Xylose) C03619 (Me...,GguA GguB ChvE LsrA LsrD LsrC LsrB Autoinducer 2 RhaT RhaQ RhaP RhaS Rhamnose FrcA FrcC FrcB Fructos...
hsa03008,Ribosome biogenesis in eukaryotes,"Ribosomes are the cellular factories responsible for making proteins. In eukaryotes, ribosome biogen...","100008588 (RNA18SN5), 106631781 (RNA18SN1), 109864273 (RNA18SN4), 109864280 (RNA18SN2), 109910380 (R...",RIBOSOME BIOGENESIS IN EUKARYOTES Pol I Pol III Nucleolus UTP-B complex 18S 5.8S 25S U3 complex...
hsa03010,Ribosome,,2197 (FAU) 6137 (RPL13) 6158 (RPL28) 6208 (RPS14) 6228 (RPS23) 6222 (RPS18) 6235 (RPS29) 6207 (RPS13...,L7A S30e L13e L28e S14e S23e S18e S29e S13e S11e S15e S6e S8e S17e S19e S24e S27e S27Ae S7e S10e S12...
hsa03013,Nucleocytoplasmic transport,The exchange of molecules between the nucleus and cytoplasm is mediated through nuclear pore complex...,"11260 (XPOT), 1434 (CSE1L), 23039 (XPO7), 23214 (XPO6), 57510 (XPO5), 64328 (XPO4), 64901 (RANBP17),...",NES NUCLEOCYTOPLASMIC TRANSPORT Ran GTP XPO Ran CBC PHAX Central channel Nuclear basket Cytoplasmi...
hsa03015,mRNA surveillance pathway,The mRNA surveillance pathway is a quality control mechanism that detects and degrades abnormal mRNA...,"5976 (UPF1) 26019 (UPF2) 65109 (UPF3B), 65110 (UPF3A) 23049 (SMG1) 23381 (SMG5) 9887 (SMG7) 23293 (S...",Spliceosome m7G m7G EJC complex m7G Upf3 Tap 40S SRm160 Pinin Ref/Aly Tap Upf1 Upf2 Upf3 SMG1 SMG5 S...
hsa03018,RNA degradation,"The correct processing, quality control and turnover of cellular RNA molecules are critical to many ...","2023 (ENO1), 2026 (ENO2), 2027 (ENO3), 387712 (ENO4) 87178 (PNPT1) 54512 (EXOSC4) 23016 (EXOSC7) 965...",RNase E RNase E RNase E RhlB Enolase PNPase RhlE RNaseR helicases Rho RNA degradosome type A (Esche...
hsa03020,RNA polymerase,,5431 (POLR2B) 5430 (POLR2A) 5432 (POLR2C) 5433 (POLR2D) 5434 (POLR2E) 5435 (POLR2F) 5436 (POLR2G) 54...,RNA POLYMERASE ABC1 ABC2 ABC3 ABC5 B11 ABC4 RNA polymerase (Thermus aquaticus) RNA polymerase II (H...
hsa03022,Basal transcription factors,,"387332 (TBPL2), 6908 (TBP), 9519 (TBPL1) 138474 (TAF1L), 6872 (TAF1) 6873 (TAF2) 83860 (TAF3) 6874 (...",General transcription factors for RNA polymerase II BASAL TRANSCRIPTION FACTORS TBP TAF1 TAF2 TAF3...
hsa03030,DNA replication,"A complex network of interacting proteins and enzymes is required for DNA replication. Generally, DN...","3978 (LIG1) 2237 (FEN1) 1763 (DNA2) 10535 (RNASEH2A) 79621 (RNASEH2B) 5982 (RFC2), 5984 (RFC4) 84153...",Lig1 Fen1 Dna2 RNaseH2A RNaseH2B RFC2/4 RNaseH2C RFC3/5 PCNA RPA3 Mcm5 SSB DnaG DNA REPLICATION γ &...
hsa03040,Spliceosome,"After transcription, eukaryotic mRNA precursors contain protein-coding exons and noncoding introns. ...",9879 (DDX46) 7919 (DDX39B) 8449 (DHX16) 1659 (DHX8) 1665 (DHX15) 9785 (DHX38) 51362 (CDC40) 1659 (DH...,complex pre-mRNA Exon 5' splice site 3' splice site Branch point complex complex complex B* Post-spl...
hsa03050,Proteasome,"The proteasome is a protein-destroying apparatus involved in many essential cellular functions, such...",3458 (IFNG) 5709 (PSMD3) 5718 (PSMD12) 5717 (PSMD11) 9861 (PSMD6) 5713 (PSMD7) 5719 (PSMD13) 10213 (...,IFNγ Rpn1 Rpn2 Rpn10 Rpn11 Lid Base 20S Core Particle Regulatory Particle 19S 26S proteasome (PA700)...
hsa03060,Protein export,The protein export is the active transport of proteins from the cytoplasm to the exterior of the cel...,5018 (OXA1L) 6727 (SRP14) 6731 (SRP72) 6730 (SRP68) 6729 (SRP54) 6728 (SRP19) 6734 (SRPRA) 6726 (SRP...,TatE Ffs YidC TatB TatC TatA SecA SecY SecE SecG SecD/F YajC SPase I SPase II SRP14 SRP72 SRP68 SRP5...
hsa03082,ATP-dependent chromatin remodeling,,"57492 (ARID1B), 8289 (ARID1A) 8110 (DPF3), 8193 (DPF1) 5977 (DPF2) 26039 (SS18L1), 6760 (SS18) 29994...",ARID1 DPF1/3 DPF2 SS18 BAZ2B BAZ2A BAZ1A BAZ1B BAZ1A ATP - DEPENDENT CHROMATIN REMODELING Chromati...
hsa03083,Polycomb repressive complex,,2145 (EZH1) 2146 (EZH2) 8726 (EED) 23512 (SUZ12) 5928 (RBBP4) 5931 (RBBP7) 5252 (PHF1) 22823 (MTF2) ...,POLYCOMB REPRESSIVE COMPLEX Crosstalk between cPRC1 and PRC2 PRC2 Crosstalk between ncPRC1 and PRC2...
hsa03250,Viral life cycle - HIV-1,,"11168 (PSIP1) 7251 (TSG101) 128866 (CHMP4B), 29082 (CHMP4A), 79643 (CHMP6) 10015 (PDCD6IP) 1234 (CCR...",Binding Preintegration complex (PIC) reverse transcriptase matrix integrase Fusion Reverse trans...
hsa03260,Virion - Human immunodeficiency virus,,"C00925 (Heparan sulfate) 920 (CD4) 1234 (CCR5) 7852 (CXCR4) 10332 (CLEC4M), 30835 (CD209) 10332 (CLE...",VIRION - HUMAN IMMUNODEFICIENCY VIRUS matrix capsid nucleocapsid gag gagpol Structural protein t...
hsa03264,Virion - Flavivirus,,"C00925 (Heparan sulfate), C00607 (Chondroitin sulfate) 26762 (HAVCR1) 7301 (TYRO3) 10332 (CLEC4M), 3...",NS3 NS4A NS5 RdRP / MTase NS2B NS4B NS1 NS2A Zika virus Nonstructural protein Structural prote...
hsa03265,Virion - Lyssavirus,,"4804 (NGFR) 1134 (CHRNA1) 4684 (NCAM1), 4685 (NCAM2)",Rabies lyssavirus VIRION - LYSSAVIRUS NGFR CHRNA1 NCAM1 Receptor matrix protein (M2) polymerase ph...
hsa03266,Virion - Herpesvirus,,"3678 (ITGA5) 3690 (ITGB3) 29990 (PILRB), 29992 (PILRA) 3416 (IDE) 8764 (TNFRSF14) 5818 (NECTIN1) 348...",VIRION - HERPESVIRUS Receptor Capside protein UL27 UL1 VP5 VP19C VP23 UL19 UL38 UL18 major capsid ...
hsa03267,Virion - Adenovirus,,1525 (CXADR) 941 (CD80) 942 (CD86) 4179 (CD46),VIRION - ADENOVIRUS Major capsid protein Minor / Cement protein Receptor Fiber CXADR CD...
hsa03320,PPAR signaling pathway,Peroxisome proliferator-activated receptors (PPARs) are nuclear hormone receptors that are activated...,"C02165 (Leukotriene B4), C14776 (8(S)-HETE) C15493 (9-cis-Retinoic acid) C15493 (9-cis-Retinoic acid...",Unsaturated fatty acid Unsaturated fatty acid Saturated fatty acid Eicosanoid Fibrate drug NSAID 9-c...
hsa03410,Base excision repair,Base excision repair (BER) is the predominant DNA damage repair pathway for the processing of small ...,"328 (APEX1) 2237 (FEN1) 3978 (LIG1) 3980 (LIG3) 3978 (LIG1) 54107 (POLE3), 5426 (POLE), 5427 (POLE2)...",APEX Fen1 Lig1 Lig3 Lig Polε Polδ Polβ Polβ Polβ Polβ PCNA PCNA PCNA DpoI DpoI DpoI APEX Nfo Xth MUT...
hsa03420,Nucleotide excision repair,Nucleotide excision repair (NER) is a mechanism to recognize and repair bulky DNA damage caused by c...,"2968 (GTF2H4) 2967 (GTF2H3) 2966 (GTF2H2), 728340 (GTF2H2C), 730394 (GTF2H2C_2) 2965 (GTF2H1) 2068 (...",5 ' 3 ' 3 ' 5 ' 5 ' 3 ' 3 ' 5 ' TFIIH4 TFIIH3 TFIIH2 TFIIH1 XPD TTDA XPB CCNH MNAT1 CDK7 DDB1 Cul4 R...
hsa03430,Mismatch repair,DNA mismatch repair (MMR) is a highly conserved biological pathway that plays a key role in maintain...,"4436 (MSH2) 27030 (MLH3) 4292 (MLH1) 4292 (MLH1) 3978 (LIG1) 5111 (PCNA) 10714 (POLD3), 5424 (POLD1)...",Dam MutS MSH2 MLH3 MLH1 Colorectal cancer MutH MutL Lig UVRD MLH1 LigI PCNA DpoIII ExoI Polδ RPA Exo...
hsa03440,Homologous recombination,Homologous recombination (HR) is essential for the accurate repair of DNA double-strand breaks (DSBs...,"7156 (TOP3A), 8940 (TOP3B) 641 (BLM) 7979 (SEM1) 5893 (RAD52) 4361 (MRE11) 10111 (RAD50) 7517 (XRCC3...",TOP3 BLM DSS1 Rad52 Mre11 Rad50 XRCC3 Rad51C XRCC2 XRCC2 Rad51D Rad51D Rad51C Rad51B Rad51C DnaT Pri...
hsa03450,Non-homologous end-joining,Nonhomologous end joining (NHEJ) eliminates DNA double-strand breaks (DSBs) by direct ligation. NHEJ...,3981 (LIG4) 27343 (POLL) 3981 (LIG4) 1791 (DNTT) 27434 (POLM) 64421 (DCLRE1C) 4361 (MRE11) 10111 (RA...,Lig4 Nej1 Polλ Dnl4 TdT Polμ Artemis Pol4 Lig NON-HOMOLOGOUS END-JOINING Mre11 Rad50 DNAPKcs XRS2 K...
hsa03460,Fanconi anemia pathway,"The Fanconi anemia pathway is required for the efficient repair of damaged DNA, especially interstra...",57697 (FANCM) 2175 (FANCA) 2187 (FANCB) 2176 (FANCC) 2177 (FANCD2) 55215 (FANCI) 2178 (FANCE) 2188 (...,FANCM FANCA FANCB FANCC FANCONI ANEMIA PATHWAY FANCD2 FANCI FANCE FANCF FANCG FANCL FANCN FAAP100 ...
hsa04010,MAPK signaling pathway,The mitogen-activated protein kinase (MAPK) cascade is a highly conserved module that is involved in...,"C00338 (Lipopolysaccharide) C00165 (Diacylglycerol) C00575 (3',5'-Cyclic AMP) C01245 (D-myo-Inositol...",LPS RasGRF MKP PTP PP2CB FASL DAG cAMP HGK cPLA2 STMN1 Tau NFκB IKK NIK ERK MP1 MEK2 MEK1 Raf1 RafB ...
hsa04012,ErbB signaling pathway,The ErbB family of receptor tyrosine kinases (RTKs) couples binding of extracellular growth factor l...,"C00076 (Calcium cation) C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C05981 (...",Non-small cell lung cancer Grb2 Elk ErbB-4 ErbB-4 ErbB-3 ErbB-3 STAT5 ErbB-2 ErbB-2 ErbB-2 ErbB-2...
hsa04014,Ras signaling pathway,The Ras proteins are GTPases that function as molecular switches for signaling pathways regulating c...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4...",MAPK signaling pathway RAS SIGNALING PATHWAY ERK MEK Raf-1 Ras PI3K-Akt signaling pathway Grb2 SOS...
hsa04015,Rap1 signaling pathway,"Rap1 is a small GTPase that controls diverse processes, such as cell adhesion, cell-cell junction fo...","C00044 (GTP) C00035 (GDP) C00575 (3',5'-Cyclic AMP) C00165 (Diacylglycerol) C00076 (Calcium cation) ...","MAPK signaling pathway RAP1 SIGNALING PATHWAY ERK MEK Raf-1 Rap1 RIAM RTK RalGDS Rac RapL MEK3,6 p..."
hsa04020,Calcium signaling pathway,Ca2+ that enters the cell from the outside is a principal source of signal Ca2+. Entry of Ca2+ is dr...,C01330 (Sodium cation) C00076 (Calcium cation) C13050 (Cyclic ADP-ribose) C13051 (Nicotinic acid ade...,Long term depression Long term potentiation Phosphatidylinositol signaling pathway Apoptosis ...
hsa04022,cGMP-PKG signaling pathway,Cyclic GMP (cGMP) is the intracellular second messenger that mediates the action of nitric oxide (NO...,"C00533 (Nitric oxide) C00942 (3',5'-Cyclic GMP) C00076 (Calcium cation) C00238 (Potassium cation) C0...",cGMP-PKG SIGNALING PATHWAY MLCP MLC NPR-A cGMP PKG s-GC Sarcoplasmic reticulum (SR) Kca NPR-B Myosi...
hsa04024,cAMP signaling pathway,"cAMP is one of the most common and universal second messengers, and its formation is promoted by ade...",C00076 (Calcium cation) C00076 (Calcium cation) C00238 (Potassium cation) C01330 (Sodium cation) C00...,cAMP SIGNALING PATHWAY Sarcoplasmic Reticulum (SR) VDCC RyR2 SERCA2a TnI Calcium signaling pathway...
hsa04060,Cytokine-cytokine receptor interaction,Cytokines are soluble extracellular proteins or glycoproteins that are crucial intercellular regulat...,53833 (IL20RB) 53833 (IL20RB) 3565 (IL4) 659 (BMPR2) 93 (ACVR2B) 91 (ACVR1B) 92 (ACVR2A) 3588 (IL10R...,IL20RB IL20RB IL4 BMPR2 ACVR2B ACVR1B ACVR2A IL10RB IL22RA1 IL2RG IL2RG IL2RG IL2RG IL2RG IL2RG IL2R...
hsa04061,Viral protein interaction with cytokine and cytokine receptor,"Viruses have evolved diverse mechanisms to evade detection and destruction by the immune system, inc...","414062 (CCL3L3), 6348 (CCL3), 6349 (CCL3L1), 6352 (CCL5), 6354 (CCL7), 6355 (CCL8), 6357 (CCL13), 63...",Chemokines CCL CCR1 vCCI CCL3 vav US28 U12 CCL3 hcmv hhv6 vCCI CCL7 vav CCL7 US28 hcmv MC148 CCR1 vC...
hsa04062,Chemokine signaling pathway,Inflammatory immune response requires the recruitment of leukocytes to the site of inflammation upon...,"C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00575 (...",Migration Apoptosis Degranulation Cellular shape changes Cell survival chemokineR chemokine JAK2/3 ...
hsa04064,NF-kappa B signaling pathway,Nuclear factor-kappa B (NF-kappa B) is the generic name of a family of transcription factors that fu...,"C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00165 (...",Cytokine-cytokine receptor interaction Bcl-XL Bcl-2 c-IAP1/2 IκBα IRAK1/4 MyD88 TRAF2/5 RIP1 TRADD I...
hsa04066,HIF-1 signaling pathway,Hypoxia-inducible factor 1 (HIF-1) is a transcription factor that functions as a master regulator of...,"C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00704 (Superoxide) C00031 (D-Gl...",CUL2 Rbx1 ElonginB ElonginC VEGF PHD VHL HIF-1β p300/CBP HIF-1α Glut1 HIF-1 SIGNALING PATHWAY mTOR...
hsa04068,FoxO signaling pathway,The forkhead box O (FOXO) family of transcription factors regulates the expression of genes in cellu...,"C00031 (D-Glucose) C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00008 (ADP) C00020 (AMP) C0002...",IKKα/β JNK ERK1/2 AMPK INS Glucose FOXO SOS Ras MEK1/2 INSR Raf PEPCK G6PC Akt P13K PDK1/2 IRS PIP F...
hsa04070,Phosphatidylinositol signaling system,,"C11554 (1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate) C11556 (1-Phosphatidyl-1D-myo-inositol 3,5-...","PTEN 2.7.1.158 PI(3,4)P PI(3,5)P PI(5)P PLC PLC 5PP-IP Focal adhesion I(1,3,4)P I(1,3,4,5)P I(4)P I(..."
hsa04071,Sphingolipid signaling pathway,Sphingomyelin (SM) and its metabolic products are now known to have second messenger functions in a ...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00195 (N-Acylsphingosine) C12126 (Dihydroceramide...",ERK1/2 MEK1/2 Raf AKT P13K PDK1 PIP SPHINGOLIPID SIGNALING PATHWAY MAPK signaling pathway P...
hsa04072,Phospholipase D signaling pathway,Phospholipase D (PLD) is an essential enzyme responsible for the production of the lipid second mess...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00165 (Diacylglycerol) C01245 (D-myo-Inositol 1,4...",MAPK signaling pathway PHOSPHOLIPASE D SIGNALING PATHWAY ERK MEK Raf-1 Ras PI3K-Akt signaling pat...
hsa04080,Neuroactive ligand-receptor interaction,,"C02166 (Leukotriene C4), C05951 (Leukotriene D4), C05952 (Leukotriene E4) C04598 (2-Acetyl-1-alkyl-s...",PARRS Gastric inhibitory peptide Glucagon Glucagon-like peptide Parathyroid hormone Growth hormone-r...
hsa04110,Cell cycle,"Mitotic cell cycle progression is accomplished through a reproducible sequence of events, DNA replic...","1029 (CDKN2A) 51343 (FZR1) 4171 (MCM2), 4172 (MCM3), 4173 (MCM4), 4174 (MCM5), 4175 (MCM6), 4176 (MC...",ARF Cdh1 MCM ORC APC/C APC/C SCF SCF CDK1 BubR1 PCNA Plk1 ATM/ATR Dbf4 Mad2 Bub1 Bub3 Cdc14b 14-3-3 ...
hsa04114,Oocyte meiosis,"During meiosis, a single round of DNA replication is followed by two rounds of chromosome segregatio...","C00410 (Progesterone) C01245 (D-myo-Inositol 1,4,5-trisphosphate) C00076 (Calcium cation) C00575 (3'...",Mos Cdc2 Mad1/2 CycB2/B5 Myt1 Rsk1/2 p42MAPK MEK1 Progesterone OOCYTE MEIOSIS Early translation of ...
hsa04115,p53 signaling pathway,"p53 activation is induced by a number of stress signals, including DNA damage, oxidative stress and ...","6477 (SIAH1) 3486 (IGFBP3) 10912 (GADD45G), 1647 (GADD45A), 4616 (GADD45B) 4194 (MDM4) 1111 (CHEK1) ...",Siah-1 IGF-BP3 Gadd45 MDM-X CHK1 ATR CHK2 ATM Reprimo 14-3-3-σ CDK2 Cyclin E Cell cycle Apoptosis TS...
hsa04120,Ubiquitin mediated proteolysis,Protein ubiquitination plays an important role in eukaryotic cellular processes. It mainly functions...,10054 (UBA2) 10055 (SAE1) 6921 (ELOC) 6923 (ELOB) 9978 (RBX1) 9978 (RBX1) 9978 (RBX1) 9978 (RBX1) 23...,UBLE1B UBLE1A EloC EloB RBX1 RBX1 RBX1 RBX1 F-box BTB DCAF SOCSbox VHLbox HERC4 HERC3 UBE2W UBE2F UB...
hsa04122,Sulfur relay system,Ubiquitin and ubiquitin-like proteins (Ubls) are signalling messengers that control many cellular fu...,C00097 (L-Cysteine) C00041 (L-Alanine) C00868 (tRNA uridine) C17322 (tRNA containing 2-thiouridine) ...,SULFUR RELAY SYSTEM E1-like urm1 -COOH ATP PPi -COAMP Protein modification Prokaryote Ahp1 -NHCO-...
hsa04130,SNARE interactions in vesicular transport,,"662 (BNIP1) 55850 (USE1) 53407 (STX18) 55014 (STX17) 10282 (BET1), 51272 (BET1L) 10652 (YKT6) 9527 (...",Sec20 Use1 Stx18 Stx17 Bet1 Ykt6 Gos1 Stx5 Sec22 Bos1 Stx5 SNAP29 STX6 Stx16 Stx11 Ykt6 Vti1 STX8 St...
hsa04136,Autophagy - other,"Autophagy is a degradative pathway for the removal of cytoplasmic materials in eukaryotic cells, and...",C00350 (Phosphatidylethanolamine) C00350 (Phosphatidylethanolamine) C04549 (1-Phosphatidyl-1D-myo-in...,AUTOPHAGY - OTHER Nutrient starvation TORC1 complex Raptor TOR LST8 ATG1 complex ATG1 ATG13 ATG11 ...
hsa04137,Mitophagy - animal,"Mitochondria act as the energy powerhouse of the cell, and are essential for eukaryotic cells to gro...","65018 (PINK1) 55669 (MFN1), 9927 (MFN2) 84749 (USP30) 9958 (USP15) 55626 (AMBRA1) 9101 (USP8) 5071 (...",MITOPHAGY - ANIMAL PINK1 Mfn1/2 Depolarization of mitochondria USP30 USP15 AMBRA1 USP8 Parkin Auto...
hsa04140,Autophagy - animal,"Autophagy (or macroautophagy) is a cellular catabolic pathway involving in protein degradation, orga...",C04549 (1-Phosphatidyl-1D-myo-inositol 3-phosphate) C01194 (1-Phosphatidyl-D-myo-inositol) C05981 (P...,"PI3P AUTOPHAGY - ANIMAL Nutrient starvation (Amino acids, glucose) mTORC1 complex ER stress ROS Lo..."
Entry,Name,Description,Object,Legend
hsa04141,Protein processing in endoplasmic reticulum,The endoplasmic reticulum (ER) is a subcellular organelle where proteins are folded with the help of...,G00010 C00076 (Calcium cation) G00010 G00009 G00011 G00011 G10694 G00012 468 (ATF4) 1649 (DDIT3) 559...,PROTEIN PROCESSING IN ENDOPLASMIC RETICULUM Protein export Apoptosis Proteasome ATF4 CHOP JNK TR...
hsa04142,Lysosome,Lysosomes are membrane-delimited organelles in animal cells serving as the cell's main digestive com...,C00002 (ATP) C00008 (ADP) C00159 (D-Mannose) C00159 (D-Mannose) C00275 (D-Mannose 6-phosphate) C0027...,mitochondria pH~ 5.0 pH~ 7.2 acid hydrolase lysosome Regulation of autophagy ATPeV ATP ADP cytos...
hsa04144,Endocytosis,"Endocytosis is a mechanism for cells to remove ligands, nutrients, and plasma membrane (PM) proteins...",C04549 (1-Phosphatidyl-1D-myo-inositol 3-phosphate) C04549 (1-Phosphatidyl-1D-myo-inositol 3-phospha...,ENDOCYTOSIS STAM Hrs PI(3)P PI(3)P ESCRT-I ESCRT-0 ESCRT-II ESCRT-III Late endosome and multivesicul...
hsa04145,Phagosome,"Phagocytosis is the process of taking in relatively large particles by a cell, and is a central mech...",C04549 (1-Phosphatidyl-1D-myo-inositol 3-phosphate) C04549 (1-Phosphatidyl-1D-myo-inositol 3-phospha...,PHAGOSOME Fc gamma R-mediated phagocytosis Endocytosis Phagocytic cup pathogen Conventional p...
hsa04146,Peroxisome,Peroxisomes are essential organelles that play a key role in redox signalling and lipid homeostasis....,5195 (PEX14) 5828 (PEX2) 5189 (PEX1) 5190 (PEX6) 55670 (PEX26) 5194 (PEX13) 5192 (PEX10) 5193 (PEX12...,PEROXISOME PEX14 PEX2 PEX1 PEX6 PEX26 PEX13 PTS1 PTS2 Matrix protein import PEX10 PEX12 PEX5 PEX7 PE...
hsa04150,mTOR signaling pathway,The mammalian (mechanistic) target of rapamycin (mTOR) is a highly conserved serine/threonine protei...,"C05981 (Phosphatidylinositol-3,4,5-trisphosphate) C00020 (AMP) C00123 (L-Leucine) C00062 (L-Arginine...",mTOR SIGNALING PATHWAY IRS1 PI3K Raf MAPK signaling pathway ERK1/2 Ras MEK PTEN PDK1 Akt TSC1/2 Rh...
